{INFO}	10-01-2021 Sunday EST 18:57:20	consoleLog.Main     	Welcome to Chase Bank                              
{INFO}	10-01-2021 Sunday EST 18:57:20	consoleLog.Main     	-----------------------                            
{INFO}	10-01-2021 Sunday EST 18:57:20	consoleLog.Main     	Customer Options                                   
{INFO}	10-01-2021 Sunday EST 18:57:20	consoleLog.Main     	=======================                            
{INFO}	10-01-2021 Sunday EST 18:57:20	consoleLog.Main     	1)Login                                            
{INFO}	10-01-2021 Sunday EST 18:57:20	consoleLog.Main     	2)Sign Up                                          
{INFO}	10-01-2021 Sunday EST 18:57:20	consoleLog.Main     	3)EXIT                                             
{INFO}	10-01-2021 Sunday EST 18:57:24	consoleLog.Main     	Enter Your Email:                                  
{INFO}	10-01-2021 Sunday EST 18:57:30	consoleLog.Main     	Enter Your Password:                               
{INFO}	10-01-2021 Sunday EST 18:57:34	consoleLog.Main     	Customer [customer_id=1, first_name=Juan, last_name=Alcantara, dob=1990-01-02, gender=M, ssn=111111111, address=123 Creston Ave, phone=8005551234, email=juan231f@yahoo.com, password=password1] 
{INFO}	10-01-2021 Sunday EST 18:57:34	consoleLog.Main     	                                                   
{INFO}	10-01-2021 Sunday EST 18:57:34	consoleLog.Main     	Customer Options                                   
{INFO}	10-01-2021 Sunday EST 18:57:34	consoleLog.Main     	=======================                            
{INFO}	10-01-2021 Sunday EST 18:57:34	consoleLog.Main     	1)Login                                            
{INFO}	10-01-2021 Sunday EST 18:57:34	consoleLog.Main     	2)Sign Up                                          
{INFO}	10-01-2021 Sunday EST 18:57:34	consoleLog.Main     	3)EXIT                                             
{INFO}	10-01-2021 Sunday EST 19:55:20	consoleLog.Main     	Welcome to Chase Bank                              
{INFO}	10-01-2021 Sunday EST 19:55:20	consoleLog.Main     	-----------------------                            
{INFO}	10-01-2021 Sunday EST 19:55:20	consoleLog.Main     	Customer Options                                   
{INFO}	10-01-2021 Sunday EST 19:55:20	consoleLog.Main     	=======================                            
{INFO}	10-01-2021 Sunday EST 19:55:20	consoleLog.Main     	1)Login                                            
{INFO}	10-01-2021 Sunday EST 19:55:20	consoleLog.Main     	2)Sign Up                                          
{INFO}	10-01-2021 Sunday EST 19:55:20	consoleLog.Main     	3)EXIT                                             
{INFO}	10-01-2021 Sunday EST 19:55:24	consoleLog.Main     	Enter Your Email:                                  
{INFO}	10-01-2021 Sunday EST 19:55:28	consoleLog.Main     	Enter Your Password:                               
{INFO}	10-01-2021 Sunday EST 19:57:23	consoleLog.Main     	Welcome to Chase Bank                              
{INFO}	10-01-2021 Sunday EST 19:57:23	consoleLog.Main     	-----------------------                            
{INFO}	10-01-2021 Sunday EST 19:57:23	consoleLog.Main     	Customer Options                                   
